Date,5Price,5Open,5High,5Low,5Vol.,5Change %
"May 02, 2013",124.77,124.76,124.81,124.68,426.13K,0.02%
"May 01, 2013",124.75,124.63,124.84,124.59,420.11K,0.09%
"Apr 30, 2013",124.64,124.63,124.78,124.62,593.18K,-0.01%
"Apr 29, 2013",124.65,124.6,124.66,124.59,307.71K,0.02%
"Apr 26, 2013",124.62,124.48,124.64,124.47,394.73K,0.11%
"Apr 25, 2013",124.48,124.47,124.5,124.4,383.29K,-0.01%
"Apr 24, 2013",124.49,124.42,124.52,124.38,449.34K,0.04%
"Apr 23, 2013",124.44,124.47,124.65,124.41,666.65K,-0.02%
"Apr 22, 2013",124.46,124.38,124.52,124.31,434.09K,0.05%
"Apr 19, 2013",124.4,124.42,124.45,124.36,417.32K,-0.03%
"Apr 18, 2013",124.44,124.45,124.52,124.4,572.26K,-0.01%
"Apr 17, 2013",124.45,124.45,124.55,124.41,545.88K,0.00%
"Apr 16, 2013",124.45,124.54,124.58,124.4,456.63K,-0.03%
"Apr 15, 2013",124.49,124.5,124.59,124.44,547.60K,0.01%
"Apr 12, 2013",124.48,124.31,124.52,124.3,431.57K,0.14%
"Apr 11, 2013",124.31,124.27,124.38,124.22,490.25K,0.03%
"Apr 10, 2013",124.27,124.45,124.47,124.23,555.87K,-0.14%
"Apr 09, 2013",124.45,124.41,124.51,124.36,453.16K,0.01%
"Apr 08, 2013",124.44,124.45,124.52,124.38,474.30K,-0.06%
"Apr 05, 2013",124.52,124.45,124.63,124.37,708.50K,0.04%
"Apr 04, 2013",124.47,124.33,124.51,124.27,722.28K,0.13%
"Apr 03, 2013",124.31,124.1,124.36,124.02,604.75K,0.17%
"Apr 02, 2013",124.1,124.19,124.21,124.05,415.31K,-0.05%
"Apr 01, 2013",124.16,123.98,124.23,123.92,366.80K,-0.23%
"Mar 28, 2013",124.45,124.55,124.64,124.44,-,-0.08%
"Mar 27, 2013",124.55,124.55,124.6,124.35,4.89K,0.15%
"Mar 26, 2013",124.36,124.28,124.36,124.19,3.80K,0.06%
"Mar 25, 2013",124.29,124.14,124.34,124.1,1.37K,0.02%
"Mar 22, 2013",124.27,124.3,124.33,124.17,3.40K,0.03%
"Mar 21, 2013",124.23,124.23,124.3,124.2,13.10K,-0.03%
"Mar 20, 2013",124.27,124.3,124.37,124.16,5.21K,-0.02%
"Mar 19, 2013",124.3,124.26,124.38,124.15,14.83K,0.10%
"Mar 18, 2013",124.18,124.27,124.37,124.16,12.43K,0.09%
"Mar 15, 2013",124.07,123.85,124.12,123.82,15.74K,0.15%
"Mar 14, 2013",123.88,123.87,123.91,123.74,5.76K,0.00%
"Mar 13, 2013",123.88,123.9,123.98,123.81,21.20K,-0.02%
"Mar 12, 2013",123.91,123.78,123.93,123.75,8.39K,0.09%
"Mar 11, 2013",123.8,123.84,123.88,123.76,8.54K,0.00%
"Mar 08, 2013",123.8,123.96,124.0,123.66,27.11K,-0.14%
"Mar 07, 2013",123.97,124.21,124.23,123.95,21.97K,-0.19%
"Mar 06, 2013",124.2,124.3,124.33,124.17,43.89K,-0.10%
"Mar 05, 2013",124.32,124.41,124.41,124.28,81.38K,-0.06%
"Mar 04, 2013",124.39,124.49,124.54,124.38,95.53K,-0.05%
"Mar 01, 2013",124.45,124.4,124.52,124.37,136.77K,0.06%
"Feb 28, 2013",124.38,124.31,124.45,124.3,279.53K,0.05%
"Feb 27, 2013",124.32,124.32,124.45,124.3,1.10M,-0.01%
"Feb 26, 2013",124.33,124.34,124.45,124.27,1.76M,0.05%
"Feb 25, 2013",124.27,124.01,124.37,123.92,1.60M,0.19%
"Feb 22, 2013",124.03,123.96,124.04,123.89,869.37K,0.05%
"Feb 21, 2013",123.97,123.87,124.06,123.81,826.53K,0.11%
"Feb 20, 2013",123.83,123.73,123.87,123.68,743.89K,0.06%
"Feb 19, 2013",123.75,123.8,123.89,123.73,460.26K,-0.05%
"Feb 18, 2013",123.81,123.78,123.84,123.76,-,-0.01%
"Feb 15, 2013",123.82,123.87,123.94,123.71,515.45K,-0.04%
"Feb 14, 2013",123.87,123.63,123.88,123.61,743.75K,0.17%
"Feb 13, 2013",123.66,123.81,123.84,123.6,640.24K,-0.12%
"Feb 12, 2013",123.81,123.91,123.95,123.78,509.07K,-0.11%
"Feb 11, 2013",123.95,123.99,124.02,123.87,342.74K,-0.04%
"Feb 08, 2013",124.0,123.98,124.08,123.85,454.54K,-0.01%
"Feb 07, 2013",124.01,123.96,124.08,123.84,649.93K,0.05%
"Feb 06, 2013",123.95,123.82,123.98,123.78,621.79K,0.15%
"Feb 05, 2013",123.77,123.95,123.97,123.74,541.19K,-0.12%
"Feb 04, 2013",123.92,123.73,124.03,123.57,692.19K,0.12%
"Feb 01, 2013",123.77,123.7,124.05,123.62,1.12M,0.03%
"Jan 31, 2013",123.73,123.73,123.88,123.68,833.13K,0.02%
"Jan 30, 2013",123.7,123.62,123.77,123.52,864.68K,0.03%
"Jan 29, 2013",123.66,123.66,123.74,123.57,736.86K,0.03%
"Jan 28, 2013",123.62,123.73,123.77,123.51,764.12K,-0.11%
"Jan 25, 2013",123.75,124.15,124.16,123.72,846.78K,-0.35%
"Jan 24, 2013",124.19,124.26,124.32,124.06,574.96K,-0.02%
"Jan 23, 2013",124.22,124.19,124.31,124.17,395.47K,-0.01%
"Jan 22, 2013",124.23,124.14,124.26,124.04,482.90K,0.11%
"Jan 21, 2013",124.09,124.15,124.16,124.07,-,-0.06%
"Jan 18, 2013",124.16,124.01,124.19,123.92,376.36K,0.11%
"Jan 17, 2013",124.02,124.27,124.33,123.98,665.41K,-0.20%
"Jan 16, 2013",124.27,124.23,124.34,124.21,401.98K,0.02%
"Jan 15, 2013",124.24,124.16,124.3,124.12,467.43K,0.09%
